param_path.name,param_path.noise,param_our_param.tau_radius,param_our_param.epsilon_PCA,param_our_param.max_min_num,metric_non_na_percent,metric_coef
ellipsoid,0.2,2,0.2,200.0,0.9886,-0.11488899342508532
ellipsoid,0.2,2,0.4,0.05,1.0,-0.25366480857526913
ellipsoid,0.2,2,0.4,0.1,1.0,-0.04387816258123285
ellipsoid,0.2,2,0.4,100.0,1.0,-0.35262046986894063
ellipsoid,0.2,2,0.4,150.0,1.0,-0.3295071305985501
ellipsoid,0.2,2,0.4,200.0,1.0,-0.28677703019253703
ellipsoid,0.2,2,0.6,0.1,1.0,-0.08307744109390908
ellipsoid,0.2,2,0.6,100.0,1.0,-0.4111667285823608
ellipsoid,0.2,2,0.6,150.0,1.0,-0.3988001898667356
ellipsoid,0.2,2,0.6,200.0,1.0,-0.359649162409223
ellipsoid,0.3,1,0.2,0.05,0.9762,-0.05405748302627853
ellipsoid,0.3,1,0.2,0.1,0.9762,0.01696409346783854
ellipsoid,0.3,1,0.2,100.0,0.9762,-0.08075884342552717
ellipsoid,0.3,1,0.2,150.0,0.9762,-0.055708305910009775
ellipsoid,0.3,1,0.2,200.0,0.9762,-0.03582541812636512
ellipsoid,0.3,1,0.4,0.1,0.9982,-0.04105706783509451
ellipsoid,0.3,1,0.4,100.0,0.9982,-0.11978109905463928
ellipsoid,0.3,1,0.4,150.0,0.9982,-0.10038010846043544
ellipsoid,0.3,1,0.4,200.0,0.9982,-0.08164793533881769
ellipsoid,0.3,1,0.6,0.05,1.0,-0.26808502490898084
ellipsoid,0.3,1,0.6,0.1,1.0,-0.2083339448570596
ellipsoid,0.3,1,0.6,100.0,1.0,-0.18800563330858436
ellipsoid,0.3,1,0.6,150.0,1.0,-0.18625412504239025
ellipsoid,0.3,1,0.6,200.0,1.0,-0.17794660437464108
ellipsoid,0.3,2,0.2,0.05,0.9762,-0.11492487405520316
ellipsoid,0.3,2,0.2,0.1,0.9762,0.0027535019308947807
ellipsoid,0.3,2,0.2,100.0,0.9762,-0.08453778943843233
ellipsoid,0.3,2,0.2,150.0,0.9762,-0.06116626957227352
ellipsoid,0.3,2,0.2,200.0,0.9762,-0.04037913026107303
ellipsoid,0.3,2,0.4,0.05,0.9982,-0.19652934119979865
ellipsoid,0.3,2,0.4,0.1,0.9982,-0.03765104463891252
ellipsoid,0.3,2,0.4,100.0,0.9982,-0.12266736668886666
ellipsoid,0.3,2,0.4,150.0,0.9982,-0.10464692037490018
ellipsoid,0.3,2,0.4,200.0,0.9982,-0.08433288851567292
ellipsoid,0.3,2,0.6,0.05,1.0,-0.33365852615469815
ellipsoid,0.3,2,0.6,0.1,1.0,-0.1526632491568571
ellipsoid,0.3,2,0.6,100.0,1.0,-0.19088614453298977
ellipsoid,0.3,2,0.6,150.0,1.0,-0.19147841987259623
ellipsoid,0.3,2,0.6,200.0,1.0,-0.18287466481262485
ellipsoid,0.4,1,0.2,0.05,0.9524,-0.04762000036540594
ellipsoid,0.4,1,0.2,0.1,0.9524,0.011204369445380932
ellipsoid,0.4,1,0.2,100.0,0.9524,-0.016967464344653536
ellipsoid,0.4,1,0.2,150.0,0.9524,-0.0006179769378471407
ellipsoid,0.4,1,0.2,200.0,0.9524,0.011406322709748442
ellipsoid,0.4,1,0.4,0.05,0.9962,-0.05647255264695286
ellipsoid,0.4,1,0.4,0.1,0.9962,-0.005719765239975994
ellipsoid,0.4,1,0.4,100.0,0.9962,-0.019461428054496552
ellipsoid,0.4,1,0.4,150.0,0.9962,-0.005399134939293531
ellipsoid,0.4,1,0.4,200.0,0.9962,0.004585982610333201
ellipsoid,0.4,1,0.6,0.05,0.9994,-0.10566379951254942
ellipsoid,0.4,1,0.6,0.1,0.9994,-0.08658854235754326
ellipsoid,0.4,1,0.6,100.0,0.9994,-0.03853941559644329
ellipsoid,0.4,1,0.6,150.0,0.9994,-0.031700780657674114
ellipsoid,0.4,1,0.6,200.0,0.9994,-0.026035714623486063
ellipsoid,0.4,2,0.2,0.05,0.9524,-0.0727594471636853
ellipsoid,0.4,2,0.2,0.1,0.9524,0.01036255399402182
ellipsoid,0.4,2,0.2,100.0,0.9524,-0.020913941250914364
ellipsoid,0.4,2,0.2,150.0,0.9524,-0.005032084076917538
ellipsoid,0.4,2,0.2,200.0,0.9524,0.0088556499018484
ellipsoid,0.4,2,0.4,0.05,0.9962,-0.09251952421585476
ellipsoid,0.4,2,0.4,0.1,0.9962,-0.00698705578064545
ellipsoid,0.4,2,0.4,100.0,0.9962,-0.022402189817373942
ellipsoid,0.4,2,0.4,150.0,0.9962,-0.007350275953025102
ellipsoid,0.4,2,0.4,200.0,0.9962,0.006188983737850631
ellipsoid,0.4,2,0.6,0.05,0.9994,-0.19936567367809932
ellipsoid,0.4,2,0.6,0.1,0.9994,-0.13057685413292988
ellipsoid,0.4,2,0.6,100.0,0.9994,-0.04106602323124011
ellipsoid,0.4,2,0.6,150.0,0.9994,-0.034479615703922675
ellipsoid,0.4,2,0.6,200.0,0.9994,-0.026924645129424055
ellipsoid,0.5,1,0.2,0.05,0.9232,-0.031204307912475557
ellipsoid,0.5,1,0.2,0.1,0.9232,0.014411408202151718
ellipsoid,0.5,1,0.2,100.0,0.9232,0.030257217086421376
ellipsoid,0.5,1,0.2,150.0,0.9232,0.04104466083323459
ellipsoid,0.5,1,0.2,200.0,0.9232,0.04835419317911383
ellipsoid,0.5,1,0.4,0.05,0.9928,-0.0033704706521737672
ellipsoid,0.5,1,0.4,0.1,0.9928,0.028199608422808428
ellipsoid,0.5,1,0.4,100.0,0.9928,0.04305539283705479
ellipsoid,0.5,1,0.4,150.0,0.9928,0.05130665047706259
ellipsoid,0.5,1,0.4,200.0,0.9928,0.055972946964434896
ellipsoid,0.5,1,0.6,0.05,0.9988,-0.020717707030068883
ellipsoid,0.5,1,0.6,0.1,0.9988,0.0047242814660451715
ellipsoid,0.5,1,0.6,100.0,0.9988,0.03702874347473867
ellipsoid,0.5,1,0.6,150.0,0.9988,0.04337480364198496
ellipsoid,0.5,1,0.6,200.0,0.9988,0.04720945347975842
ellipsoid,0.5,2,0.2,0.05,0.9232,-0.02487393435726229
ellipsoid,0.5,2,0.2,0.1,0.9232,0.030038665645564868
ellipsoid,0.5,2,0.2,100.0,0.9232,0.02903116920731568
ellipsoid,0.5,2,0.2,150.0,0.9232,0.04020592082180615
ellipsoid,0.5,2,0.2,200.0,0.9232,0.04974382813234207
ellipsoid,0.5,2,0.4,0.05,0.9928,-0.01212350827233523
ellipsoid,0.5,2,0.4,0.1,0.9928,0.036449803246787475
ellipsoid,0.5,2,0.4,100.0,0.9928,0.04274206655286616
ellipsoid,0.5,2,0.4,150.0,0.9928,0.05376507428419872
ellipsoid,0.5,2,0.4,200.0,0.9928,0.06278111493623528
ellipsoid,0.5,2,0.6,0.05,0.9988,-0.05410915415640136
ellipsoid,0.5,2,0.6,0.1,0.9988,-0.018461028425991895
ellipsoid,0.5,2,0.6,100.0,0.9988,0.03678910866428063
ellipsoid,0.5,2,0.6,150.0,0.9988,0.04526663326263306
ellipsoid,0.5,2,0.6,200.0,0.9988,0.0525265654622771
hyperboloid,0.0,1,0.2,0.05,1.0,0.7123679709987776
hyperboloid,0.0,1,0.2,0.1,1.0,0.7149065771373456
hyperboloid,0.0,1,0.2,100.0,1.0,0.7142709361031285
hyperboloid,0.0,1,0.2,150.0,1.0,0.7166386344956409
hyperboloid,0.0,1,0.2,200.0,1.0,0.7183617926951053
hyperboloid,0.0,1,0.4,0.05,1.0,0.7138089726199546
hyperboloid,0.0,1,0.4,0.1,1.0,0.7195263658783403
hyperboloid,0.0,1,0.4,100.0,1.0,0.7188243222805962
hyperboloid,0.0,1,0.4,150.0,1.0,0.7227851640694617
hyperboloid,0.0,1,0.4,200.0,1.0,0.7229789521597981
hyperboloid,0.0,1,0.6,0.05,1.0,0.7171711531660959
hyperboloid,0.0,1,0.6,0.1,1.0,0.7221807589283349
hyperboloid,0.0,1,0.6,100.0,1.0,0.721705338819098
hyperboloid,0.0,1,0.6,150.0,1.0,0.7263660982523096
hyperboloid,0.0,1,0.6,200.0,1.0,0.7251984854238576
hyperboloid,0.0,2,0.2,0.05,1.0,0.7622026087865591
hyperboloid,0.0,2,0.2,0.1,1.0,0.730090388532669
hyperboloid,0.0,2,0.2,100.0,1.0,0.8065072745539827
hyperboloid,0.0,2,0.2,150.0,1.0,0.801296684813615
hyperboloid,0.0,2,0.2,200.0,1.0,0.7979065656798516
hyperboloid,0.0,2,0.4,0.05,1.0,0.7662741671479074
hyperboloid,0.0,2,0.4,0.1,1.0,0.7384360424077556
hyperboloid,0.0,2,0.4,100.0,1.0,0.8072383654873444
hyperboloid,0.0,2,0.4,150.0,1.0,0.8028350699027923
hyperboloid,0.0,2,0.4,200.0,1.0,0.800028884489184
hyperboloid,0.0,2,0.6,0.05,1.0,0.7702145837282839
hyperboloid,0.0,2,0.6,0.1,1.0,0.7469004347534449
hyperboloid,0.0,2,0.6,100.0,1.0,0.8085846783606216
hyperboloid,0.0,2,0.6,150.0,1.0,0.8060743055221589
hyperboloid,0.0,2,0.6,200.0,1.0,0.804056084691868
hyperboloid,0.1,1,0.2,0.05,0.9938,0.12361578602324284
hyperboloid,0.1,1,0.2,0.1,0.9938,0.18076222980431297
hyperboloid,0.1,1,0.2,100.0,,
hyperboloid,0.1,1,0.2,150.0,0.9938,0.5688410825458938
hyperboloid,0.1,1,0.2,200.0,0.9938,0.6050845029592113
hyperboloid,0.1,1,0.4,0.05,1.0,0.16195255941525194
hyperboloid,0.1,1,0.4,0.1,1.0,0.20529245727372383
hyperboloid,0.1,1,0.4,100.0,1.0,0.5916505431196374
hyperboloid,0.1,1,0.4,150.0,1.0,0.5908166858864409
hyperboloid,0.1,1,0.4,200.0,1.0,0.5999382413500428
hyperboloid,0.1,1,0.6,0.05,1.0,0.3247227862237243
hyperboloid,0.1,1,0.6,0.1,1.0,0.4134922504543227
hyperboloid,0.1,1,0.6,100.0,1.0,0.6467605926026518
hyperboloid,0.1,1,0.6,150.0,1.0,0.6569325488516397
hyperboloid,0.1,1,0.6,200.0,1.0,0.6579093547322614
hyperboloid,0.1,2,0.2,0.05,0.9938,0.35629829731586393
hyperboloid,0.1,2,0.2,0.1,0.9938,0.4781778929951132
hyperboloid,0.1,2,0.2,100.0,0.9938,0.5288869171349152
hyperboloid,0.1,2,0.2,150.0,0.9938,0.5465167156201443
hyperboloid,0.1,2,0.2,200.0,0.9938,0.5641615212151057
hyperboloid,0.1,2,0.4,0.05,1.0,0.395992465528602
hyperboloid,0.1,2,0.4,0.1,1.0,0.491013655471616
hyperboloid,0.1,2,0.4,100.0,1.0,0.6119332224906643
hyperboloid,0.1,2,0.4,150.0,1.0,0.6098222711012667
hyperboloid,0.1,2,0.4,200.0,1.0,0.6117352378130436
hyperboloid,0.1,2,0.6,0.05,1.0,0.5557844973495206
hyperboloid,0.1,2,0.6,0.1,1.0,0.6033914992605273
hyperboloid,0.1,2,0.6,100.0,1.0,0.6805741483034664
hyperboloid,0.1,2,0.6,150.0,1.0,0.6937856782104954
hyperboloid,0.1,2,0.6,200.0,1.0,0.6982217175733233
hyperboloid,0.2,1,0.2,0.05,0.9522,0.1695858734255864
hyperboloid,0.2,1,0.2,0.1,0.9522,0.21809617017798325
hyperboloid,0.2,1,0.2,100.0,0.9522,0.5274623064395066
hyperboloid,0.2,1,0.2,150.0,0.9522,0.5600556530615564
hyperboloid,0.2,1,0.2,200.0,0.9522,0.5900325201551853
hyperboloid,0.2,1,0.4,0.05,0.9982,0.14432253843554765
hyperboloid,0.2,1,0.4,0.1,0.9982,0.16536708591771934
hyperboloid,0.2,1,0.4,100.0,0.9982,0.5611711407831936
hyperboloid,0.2,1,0.4,150.0,0.9982,0.5829744101830491
hyperboloid,0.2,1,0.4,200.0,0.9982,0.6039830818348209
hyperboloid,0.2,1,0.6,0.05,1.0,0.16151395148091674
hyperboloid,0.2,1,0.6,0.1,1.0,0.22690124174548296
hyperboloid,0.2,1,0.6,100.0,1.0,0.5969583125085508
hyperboloid,0.2,1,0.6,150.0,1.0,0.6167002391999588
hyperboloid,0.2,1,0.6,200.0,1.0,0.6270241579108246
hyperboloid,0.2,2,0.2,0.05,0.9522,0.38661289515310254
hyperboloid,0.2,2,0.2,0.1,0.9522,0.4784770276700737
hyperboloid,0.2,2,0.2,100.0,0.9522,0.5273091102230025
hyperboloid,0.2,2,0.2,150.0,0.9522,0.5492784981102242
hyperboloid,0.2,2,0.2,200.0,0.9522,0.5668339336690724
hyperboloid,0.2,2,0.4,0.05,0.9982,0.3483067052901412
hyperboloid,0.2,2,0.4,0.1,0.9982,0.423382691237532
hyperboloid,0.2,2,0.4,100.0,0.9982,0.5622427500327175
hyperboloid,0.2,2,0.4,150.0,0.9982,0.5736878042184342
hyperboloid,0.2,2,0.4,200.0,0.9982,0.5815829404929669
hyperboloid,0.2,2,0.6,0.05,1.0,0.4354687427408907
hyperboloid,0.2,2,0.6,0.1,1.0,0.4805890177207222
hyperboloid,0.2,2,0.6,100.0,1.0,0.6050363289680154
hyperboloid,0.2,2,0.6,150.0,1.0,0.6224780232765704
hyperboloid,0.2,2,0.6,200.0,1.0,0.6294896605289585
hyperboloid,0.3,1,0.2,0.05,0.9124,0.18551607999965072
hyperboloid,0.3,1,0.2,0.1,0.9124,0.2396769395334988
hyperboloid,0.3,1,0.2,100.0,0.9124,0.48994548315053194
hyperboloid,0.3,1,0.2,150.0,0.9124,0.5194623592578202
hyperboloid,0.3,1,0.2,200.0,0.9124,0.5379282166819871
hyperboloid,0.3,1,0.4,0.05,0.9942,0.2121998530394137
hyperboloid,0.3,1,0.4,0.1,0.9942,0.24639203042717436
hyperboloid,0.3,1,0.4,100.0,0.9942,0.5164983596110839
hyperboloid,0.3,1,0.4,150.0,0.9942,0.54336143066382
hyperboloid,0.3,1,0.4,200.0,0.9942,0.5582023309589325
hyperboloid,0.3,1,0.6,0.05,0.999,0.19016518164705257
hyperboloid,0.3,1,0.6,0.1,0.999,0.2306619124982995
hyperboloid,0.3,1,0.6,100.0,0.999,0.5322570840878509
hyperboloid,0.3,1,0.6,150.0,0.999,0.5555608893968385
hyperboloid,0.3,1,0.6,200.0,0.999,0.5662150041086895
hyperboloid,0.3,2,0.2,0.05,0.9124,0.39243042829615365
hyperboloid,0.3,2,0.2,0.1,0.9124,0.4523927950293366
hyperboloid,0.3,2,0.2,100.0,0.9124,0.4925464491739813
hyperboloid,0.3,2,0.2,150.0,0.9124,0.5159100361747821
hyperboloid,0.3,2,0.2,200.0,0.9124,0.5322913662009735
hyperboloid,0.3,2,0.4,0.05,0.9942,0.4000264110635446
hyperboloid,0.3,2,0.4,0.1,0.9942,0.4509174280021076
hyperboloid,0.3,2,0.4,100.0,0.9942,0.5165364858896342
hyperboloid,0.3,2,0.4,150.0,0.9942,0.5380246243706589
hyperboloid,0.3,2,0.4,200.0,0.9942,0.5525306688688405
hyperboloid,0.3,2,0.6,0.05,0.999,0.4005716756008758
hyperboloid,0.3,2,0.6,0.1,0.999,0.42817696807699823
hyperboloid,0.3,2,0.6,100.0,0.999,0.5316155727901137
hyperboloid,0.3,2,0.6,150.0,0.999,0.5521946828089236
hyperboloid,0.3,2,0.6,200.0,0.999,0.5635900678684456
hyperboloid,0.4,1,0.2,0.05,0.8716,0.18082139597394417
hyperboloid,0.4,1,0.2,0.1,0.8716,0.2440130561077116
hyperboloid,0.4,1,0.2,100.0,0.8716,0.4520990470789273
hyperboloid,0.4,1,0.2,150.0,0.8716,0.4720171024017004
hyperboloid,0.4,1,0.2,200.0,0.8716,0.4757712823070145
hyperboloid,0.4,1,0.4,0.05,0.989,0.2484459306579364
hyperboloid,0.4,1,0.4,0.1,0.989,0.2790264378736397
hyperboloid,0.4,1,0.4,100.0,0.989,0.47706158432855256
hyperboloid,0.4,1,0.4,150.0,0.989,0.492481148965362
hyperboloid,0.4,1,0.4,200.0,0.989,0.49041672723157514
hyperboloid,0.4,1,0.6,0.05,0.998,0.23142821311615863
hyperboloid,0.4,1,0.6,0.1,0.998,0.25382279925575074
hyperboloid,0.4,1,0.6,100.0,0.998,0.4790147513200031
hyperboloid,0.4,1,0.6,150.0,0.998,0.49248207530655846
hyperboloid,0.4,1,0.6,200.0,0.998,0.48932761255617513
hyperboloid,0.4,2,0.2,0.05,0.8716,0.3533765192910006
hyperboloid,0.4,2,0.2,0.1,0.8716,0.3972011353197195
hyperboloid,0.4,2,0.2,100.0,0.8716,0.4480933130662096
hyperboloid,0.4,2,0.2,150.0,0.8716,0.466330948865344
hyperboloid,0.4,2,0.2,200.0,0.8716,0.4786542534402611
hyperboloid,0.4,2,0.4,0.05,0.989,0.3844565503554861
hyperboloid,0.4,2,0.4,0.1,0.989,0.4140352631522072
hyperboloid,0.4,2,0.4,100.0,0.989,0.4754806210489992
hyperboloid,0.4,2,0.4,150.0,0.989,0.492896389037748
hyperboloid,0.4,2,0.4,200.0,0.989,0.504051041255052
hyperboloid,0.4,2,0.6,0.05,0.998,0.3650501338632273
hyperboloid,0.4,2,0.6,0.1,0.998,0.3856182828807124
hyperboloid,0.4,2,0.6,100.0,0.998,0.4754606645122405
hyperboloid,0.4,2,0.6,150.0,0.998,0.49233738113978814
hyperboloid,0.4,2,0.6,200.0,0.998,0.5026164430481679
hyperboloid,0.5,1,0.2,0.05,0.8306,0.16564121264554316
hyperboloid,0.5,1,0.2,0.1,0.8306,0.22200849705280937
hyperboloid,0.5,1,0.2,100.0,0.8306,0.3938592899231102
hyperboloid,0.5,1,0.2,150.0,0.8306,0.4020814214449685
hyperboloid,0.5,1,0.2,200.0,0.8306,0.39479411755393434
hyperboloid,0.5,1,0.4,0.05,0.981,0.25638914642666755
hyperboloid,0.5,1,0.4,0.1,0.981,0.28108142043424517
hyperboloid,0.5,1,0.4,100.0,0.981,0.43789331881841065
hyperboloid,0.5,1,0.4,150.0,0.981,0.4404650702153188
hyperboloid,0.5,1,0.4,200.0,0.981,0.4253314321954466
hyperboloid,0.5,1,0.6,0.05,0.9962,0.25031259289251667
hyperboloid,0.5,1,0.6,0.1,0.9962,0.2833510285191583
hyperboloid,0.5,1,0.6,100.0,0.9962,0.4416112557364685
hyperboloid,0.5,1,0.6,150.0,0.9962,0.441876194169144
hyperboloid,0.5,1,0.6,200.0,0.9962,0.42510677268849634
hyperboloid,0.5,2,0.2,0.05,0.8306,0.2962521303016084
hyperboloid,0.5,2,0.2,0.1,0.8306,0.33547439172781784
hyperboloid,0.5,2,0.2,100.0,0.8306,0.3887990929691989
hyperboloid,0.5,2,0.2,150.0,0.8306,0.40291703830080383
hyperboloid,0.5,2,0.2,200.0,0.8306,0.4124853210362465
hyperboloid,0.5,2,0.4,0.05,0.981,0.3528124888393406
hyperboloid,0.5,2,0.4,0.1,0.981,0.37276658108306654
hyperboloid,0.5,2,0.4,100.0,0.981,0.4353373285279334
hyperboloid,0.5,2,0.4,150.0,0.981,0.4479288682491121
hyperboloid,0.5,2,0.4,200.0,0.981,0.45592567751873087
hyperboloid,0.5,2,0.6,0.05,0.9962,0.3478196574836818
hyperboloid,0.5,2,0.6,0.1,0.9962,0.3633312366814729
hyperboloid,0.5,2,0.6,100.0,0.9962,0.4384684079387725
hyperboloid,0.5,2,0.6,150.0,0.9962,0.45117698432854825
hyperboloid,0.5,2,0.6,200.0,0.9962,0.459028810883947
torus,0.0,1,0.2,0.05,1.0,0.9981719244370147
torus,0.0,1,0.2,0.1,1.0,0.998624773816224
torus,0.0,1,0.2,100.0,1.0,0.992898268581889
torus,0.0,1,0.2,150.0,1.0,0.9962620952021464
torus,0.0,1,0.2,200.0,1.0,0.9974652017915292
torus,0.0,1,0.4,0.05,1.0,0.99678207883876
torus,0.0,1,0.4,0.1,1.0,0.9971686661466924
torus,0.0,1,0.4,100.0,1.0,0.9794087780355022
torus,0.0,1,0.4,150.0,1.0,0.9894200109401596
torus,0.0,1,0.4,200.0,1.0,0.9929900228723332
torus,0.0,1,0.6,0.05,1.0,0.9754287192364496
torus,0.0,1,0.6,0.1,1.0,0.9812172317235878
torus,0.0,1,0.6,100.0,1.0,0.7339296784697684
torus,0.0,1,0.6,150.0,1.0,0.8654966256862412
torus,0.0,1,0.6,200.0,1.0,0.9158059272277328
torus,0.0,2,0.2,0.05,1.0,0.9985755230755828
torus,0.0,2,0.2,0.1,1.0,0.9935431182136608
torus,0.0,2,0.2,100.0,1.0,0.9930023066499404
torus,0.0,2,0.2,150.0,1.0,0.9960162374486624
torus,0.0,2,0.2,200.0,1.0,0.9971813575542124
torus,0.0,2,0.4,0.05,1.0,0.9973602419422638
torus,0.0,2,0.4,0.1,1.0,0.9901483421011904
torus,0.0,2,0.4,100.0,1.0,0.9795926428473626
torus,0.0,2,0.4,150.0,1.0,0.9891913758124632
torus,0.0,2,0.4,200.0,1.0,0.9927409028360628
torus,0.0,2,0.6,0.05,1.0,0.9879955434541524
torus,0.0,2,0.6,0.1,1.0,0.9754341604294152
torus,0.0,2,0.6,100.0,1.0,0.7357905433883408
torus,0.0,2,0.6,150.0,1.0,0.8683228790556918
torus,0.0,2,0.6,200.0,1.0,0.9189750556027204
torus,0.1,1,0.2,0.05,0.9996,0.39264829090530906
torus,0.1,1,0.2,0.1,0.9996,0.5087641310099541
torus,0.1,1,0.2,100.0,0.9996,0.6523140898585037
torus,0.1,1,0.2,150.0,0.9996,0.6643902293548429
torus,0.1,1,0.2,200.0,0.9996,0.6774751121045595
torus,0.1,1,0.4,0.05,1.0,0.6031171828457295
torus,0.1,1,0.4,0.1,1.0,0.738488910440216
torus,0.1,1,0.4,100.0,1.0,0.7393427471329693
torus,0.1,1,0.4,150.0,1.0,0.7658406768060357
torus,0.1,1,0.4,200.0,1.0,0.7859779089600694
torus,0.1,1,0.6,0.05,1.0,0.4643137522883408
torus,0.1,1,0.6,0.1,1.0,0.6691689458460113
torus,0.1,1,0.6,100.0,1.0,0.6598267670353986
torus,0.1,1,0.6,150.0,1.0,0.6997236025150773
torus,0.1,1,0.6,200.0,1.0,0.7304088635712056
torus,0.1,2,0.2,0.05,0.9996,0.6329961816631975
torus,0.1,2,0.2,0.1,0.9996,0.684007322594379
torus,0.1,2,0.2,100.0,0.9996,0.6533440017684659
