,our,ab,dc
corrcoef,0.7202560630823954,0.7129215744989433,0.39824414635877114
rmse,0.39070187355420966,3.954243237498109,0.4982474936936834
R2,-0.0569510343201185,-107.26563851788053,-0.7189139097132167
